"Category","SSP1-1.9","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP1-2.6","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP2-4.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP3-7.0","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP5-8.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)"
"Jan",6.45,-19.81,39.86,2.44,-18.68,21.47,-0.38,-20.25,24.96,4.47,-17.41,23.75,1.99,-19.23,22.19
"Feb",8.05,-13.67,29.33,1.84,-11.09,25.7,4.62,-13.73,23.59,4.81,-13.77,27.37,3.71,-14.33,24.84
"Mar",9.11,-20.37,33.41,0.28,-16.83,25.47,3.77,-16.36,31.19,0.21,-19.92,22.97,2.02,-18.89,24.07
"Apr",8.62,-23.88,42.86,4.8,-20.57,32.96,1.24,-20.25,36.56,3.24,-21.71,27.32,4.25,-24.96,33.72
"May",13.99,-32.64,51.75,2.46,-29.65,41.62,4.69,-26.21,41.75,2.69,-27.27,37.86,3.63,-23.37,44.51
"Jun",14.07,-35.73,58.38,7.07,-39.02,55.33,2.84,-33.49,51.65,3.8,-37.38,52.12,6.72,-37.64,54.71
"Jul",18.13,-30.93,69.45,-2.69,-54.82,61.67,-2.41,-47.59,71.05,-6.11,-53.31,66.3,-5.24,-52.32,65.97
"Aug",20.98,-13.94,65.32,1.07,-43.45,52.09,-2.05,-41.68,53.13,3.85,-43.39,56.3,2.7,-34.28,52.25
"Sep",17.62,-16.49,66.18,-4.41,-27.34,40.65,-2.58,-23.23,37.95,-4.54,-23.39,41.31,0.17,-22.11,42.36
"Oct",15.49,-21.75,62.55,2.36,-19.24,38.43,0.07,-19.08,36.24,4.16,-17.16,34.37,-1.71,-22.61,34.26
"Nov",9.2,-26.2,46.44,2.95,-18.23,31.02,0.97,-19.91,31.4,3.02,-20.23,25.63,2.48,-20.46,26.69
"Dec",10.71,-18.35,39.49,1.06,-18.06,28.37,2.97,-19.27,27.68,3.77,-14.67,26.17,3.15,-16.91,33.86
